refdes,stream
RS03AXPS-LV03A-02-EP1,secondary_node_port_eng_data
RS03AXPS-LV03A-03-EP2,secondary_node_port_eng_data
RS03AXPS-LV03A-05-IP1,secondary_node_port_eng_data
RS03AXPS-LV03A-00-ENG,secondary_node_eng_data
RS01SLBS-MJ01A-05-IP1,secondary_node_port_eng_data
RS01SLBS-MJ01A-06-IP2,secondary_node_port_eng_data
RS01SLBS-MJ01A-12-IP8,secondary_node_port_eng_data
RS01SLBS-MJ01A-00-ENG,secondary_node_eng_data
RS01SUM2-MJ01B-05-IP1,secondary_node_port_eng_data
RS01SUM2-MJ01B-06-IP2,secondary_node_port_eng_data
RS01SUM2-MJ01B-12-IP8,secondary_node_port_eng_data
RS01SUM2-MJ01B-00-ENG,secondary_node_eng_data
CE02SHBP-MJ01C-05-IP1,secondary_node_port_eng_data
CE02SHBP-MJ01C-06-IP2,secondary_node_port_eng_data
CE02SHBP-MJ01C-07-IP3,secondary_node_port_eng_data
CE02SHBP-MJ01C-08-IP4,secondary_node_port_eng_data
CE02SHBP-MJ01C-00-ENG,secondary_node_eng_data
RS03AXBS-MJ03A-05-IP1,secondary_node_port_eng_data
RS03AXBS-MJ03A-06-IP2,secondary_node_port_eng_data
RS03AXBS-MJ03A-12-IP8,secondary_node_port_eng_data
RS03AXBS-MJ03A-00-ENG,secondary_node_eng_data
RS03ASHS-MJ03B-05-IP1,secondary_node_port_eng_data
RS03ASHS-MJ03B-06-IP2,secondary_node_port_eng_data
RS03ASHS-MJ03B-07-IP3,secondary_node_port_eng_data
RS03ASHS-MJ03B-00-ENG,secondary_node_eng_data
RS03INT1-MJ03C-05-IP1,secondary_node_port_eng_data
RS03INT1-MJ03C-06-IP2,secondary_node_port_eng_data
RS03INT1-MJ03C-07-IP3,secondary_node_port_eng_data
RS03INT1-MJ03C-09-IP5,secondary_node_port_eng_data
RS03INT1-MJ03C-10-IP6,secondary_node_port_eng_data
RS03INT1-MJ03C-00-ENG,secondary_node_eng_data
RS03INT2-MJ03D-05-IP1,secondary_node_port_eng_data
RS03INT2-MJ03D-06-IP2,secondary_node_port_eng_data
RS03INT2-MJ03D-12-IP8,secondary_node_port_eng_data
RS03INT2-MJ03D-00-ENG,secondary_node_eng_data
RS03ECAL-MJ03E-05-IP1,secondary_node_port_eng_data
RS03ECAL-MJ03E-06-IP2,secondary_node_port_eng_data
RS03ECAL-MJ03E-08-IP4,secondary_node_port_eng_data
RS03ECAL-MJ03E-09-IP5,secondary_node_port_eng_data
RS03ECAL-MJ03E-12-IP8,secondary_node_port_eng_data
RS03ECAL-MJ03E-00-ENG,secondary_node_eng_data
RS03CCAL-MJ03F-05-IP1,secondary_node_port_eng_data
RS03CCAL-MJ03F-06-IP2,secondary_node_port_eng_data
RS03CCAL-MJ03F-00-ENG,secondary_node_eng_data
RS01SLBS-PN01A-PN1A-LVPS,primary_node_eng_data
RS01SLBS-PN01A-PN1A-PRI,primary_node_out_of_band_port_data
RS01SLBS-PN01A-PN1A-SP1,primary_node_out_of_band_port_data
RS01SLBS-PN01A-PN1A-SP2,primary_node_out_of_band_port_data
RS01SLBS-PN01A-PN1A-SP3,primary_node_out_of_band_port_data
RS01SHDR-PN01B-PN1B-LVPS,primary_node_eng_data
RS01SHDR-PN01B-PN1B-PRI,primary_node_out_of_band_port_data
RS01SHDR-PN01B-PN1B-SP1,primary_node_out_of_band_port_data
RS01SHDR-PN01B-PN1B-SP2,primary_node_out_of_band_port_data
RS01SHDR-PN01B-PN1B-SP3,primary_node_out_of_band_port_data
CE04OSBP-PN01C-PN1C-LVPS,primary_node_eng_data
CE04OSBP-PN01C-PN1C-PRI,primary_node_out_of_band_port_data
CE04OSBP-PN01C-PN1C-SP1,primary_node_out_of_band_port_data
CE04OSBP-PN01C-PN1C-SP2,primary_node_out_of_band_port_data
CE04OSBP-PN01C-PN1C-SP3,primary_node_out_of_band_port_data
CE04OSPI-PN01D-PN1D-LVPS,primary_node_eng_data
CE04OSPI-PN01D-PN1D-PRI,primary_node_out_of_band_port_data
CE04OSPI-PN01D-PN1D-SP1,primary_node_out_of_band_port_data
CE04OSPI-PN01D-PN1D-SP2,primary_node_out_of_band_port_data
CE04OSPI-PN01D-PN1D-SP3,primary_node_out_of_band_port_data
RS03AXBS-PN03A-PN3A-LVPS,primary_node_eng_data
RS03AXBS-PN03A-PN3A-PRI,primary_node_out_of_band_port_data
RS03AXBS-PN03A-PN3A-SP1,primary_node_out_of_band_port_data
RS03AXBS-PN03A-PN3A-SP2,primary_node_out_of_band_port_data
RS03AXBS-PN03A-PN3A-SP3,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-LVPS,primary_node_eng_data
RS03AXSM-PN03B-PN3B-PRI,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP1,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP2,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP3,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP4,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP5,primary_node_out_of_band_port_data
RS03AXSM-PN03B-PN3B-SP6,primary_node_out_of_band_port_data
SSRSPACC-OTNNA-01-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-02-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-03-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-04-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-05-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-06-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-07-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNNA-01-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-02-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-03-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-04-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-05-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-06-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNNA-07-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-01-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-02-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-03-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-04-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-05-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-06-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-07-SEA,shore_station_otn_sea_side_port_data
SSRSPACC-OTNSA-01-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-02-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-03-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-04-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-05-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-06-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-OTNSA-07-SHORE,shore_station_otn_shore_side_port_data
SSRSPACC-F10NA-F10-1,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-2,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-3,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-4,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-5,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-6,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-7,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-8,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-9,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-10,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-11,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-12,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-13,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-14,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-15,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-16,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-17,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-18,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-19,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-20,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-21,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-22,shore_station_force_10_network_port_data
SSRSPACC-F10NA-F10-23,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-1,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-2,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-3,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-4,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-5,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-6,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-7,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-8,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-9,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-10,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-11,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-12,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-13,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-14,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-15,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-16,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-17,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-18,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-19,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-20,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-21,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-22,shore_station_force_10_network_port_data
SSRSPACC-F10SA-F10-23,shore_station_force_10_network_port_data
SSRSPACC-PFE00-00-STATUS,shore_station_power_feed_equipment_eng_data
SSRSPACC-TS00N-00-STATUS,shore_station_time_server_eng_data
SSRSPACC-TS00S-00-STATUS,shore_station_time_server_eng_data
SSRSPACC-UPS0A-LINE-01,shore_station_ups_line_eng_data
SSRSPACC-UPS0A-LINE-02,shore_station_ups_line_eng_data
SSRSPACC-UPS0A-LINE-03,shore_station_ups_line_eng_data
SSRSPACC-UPS0A-00-STATUS,shore_station_ups_status
SSRSPACC-UPS0B-LINE-01,shore_station_ups_line_eng_data
SSRSPACC-UPS0B-LINE-02,shore_station_ups_line_eng_data
SSRSPACC-UPS0B-LINE-03,shore_station_ups_line_eng_data
SSRSPACC-UPS0B-00-STATUS,shore_station_ups_status
RS01SBPS-SC01A-BRAKE-IP2,secondary_node_port_eng_data
RS01SBPS-SC01A-04-EP1,secondary_node_port_eng_data
RS01SBPS-SC01A-05-IP1,secondary_node_port_eng_data
RS01SBPS-SC01A-VFD-EP2,secondary_node_port_eng_data
RS01SBPS-SC01A-00-ENG,secondary_node_eng_data
RS01SBPS-SC01A-00-WINCH,shallow_profiler_winch_eng_data
CE04OSPS-SC01B-BRAKE-IP2,secondary_node_port_eng_data
CE04OSPS-SC01B-04-EP1,secondary_node_port_eng_data
CE04OSPS-SC01B-05-IP1,secondary_node_port_eng_data
CE04OSPS-SC01B-VFD-EP2,secondary_node_port_eng_data
CE04OSPS-SC01B-00-ENG,secondary_node_eng_data
CE04OSPS-SC01B-00-WINCH,shallow_profiler_winch_eng_data
RS03AXPS-SC03A-BRAKE-IP2,secondary_node_port_eng_data
RS03AXPS-SC03A-04-EP1,secondary_node_port_eng_data
RS03AXPS-SC03A-05-IP1,secondary_node_port_eng_data
RS03AXPS-SC03A-VFD-EP2,secondary_node_port_eng_data
RS03AXPS-SC03A-00-ENG,secondary_node_eng_data
RS03AXPS-SC03A-00-WINCH,shallow_profiler_winch_eng_data
RS01SBPS-PC01A-02-EP1,secondary_node_port_eng_data
RS01SBPS-PC01A-04A-IP1,secondary_node_port_eng_data
RS01SBPS-PC01A-04B-IP2,secondary_node_port_eng_data
RS01SBPS-PC01A-04C-IP3,secondary_node_port_eng_data
RS01SBPS-PC01A-08-IP8,secondary_node_port_eng_data
RS01SBPS-PC01A-05-IP9,secondary_node_port_eng_data
RS01SBPS-PC01A-06-IP10,secondary_node_port_eng_data
RS01SBPS-PC01A-06-IP11,secondary_node_port_eng_data
RS01SBPS-PC01A-07-IP12,secondary_node_port_eng_data
RS01SBPS-PC01A-00-ENG,secondary_node_eng_data
CE04OSPS-PC01B-02-EP1,secondary_node_port_eng_data
CE04OSPS-PC01B-04A-IP1,secondary_node_port_eng_data
CE04OSPS-PC01B-04B-IP2,secondary_node_port_eng_data
CE04OSPS-PC01B-04D-IP4,secondary_node_port_eng_data
CE04OSPS-PC01B-05-IP8,secondary_node_port_eng_data
CE04OSPS-PC01B-00-ENG,secondary_node_eng_data
RS03AXPS-PC03A-02-EP1,secondary_node_port_eng_data
RS03AXPS-PC03A-04A-IP1,secondary_node_port_eng_data
RS03AXPS-PC03A-04B-IP2,secondary_node_port_eng_data
RS03AXPS-PC03A-04C-IP3,secondary_node_port_eng_data
RS03AXPS-PC03A-08-IP8,secondary_node_port_eng_data
RS03AXPS-PC03A-05-IP9,secondary_node_port_eng_data
RS03AXPS-PC03A-06-IP10,secondary_node_port_eng_data
RS03AXPS-PC03A-06-IP11,secondary_node_port_eng_data
RS03AXPS-PC03A-07-IP12,secondary_node_port_eng_data
RS03AXPS-PC03A-00-ENG,secondary_node_eng_data
RS01SBPS-SF01A-02A-IP1,secondary_node_port_eng_data
RS01SBPS-SF01A-02D-IP3,secondary_node_port_eng_data
RS01SBPS-SF01A-03A-IP7,secondary_node_port_eng_data
RS01SBPS-SF01A-03B-IP8,secondary_node_port_eng_data
RS01SBPS-SF01A-03C-IP9,secondary_node_port_eng_data
RS01SBPS-SF01A-03-IP10,secondary_node_port_eng_data
RS01SBPS-SF01A-04A-IP12,secondary_node_port_eng_data
RS01SBPS-SF01A-04B-IP13,secondary_node_port_eng_data
RS01SBPS-SF01A-04F-IP15,secondary_node_port_eng_data
RS01SBPS-SF01A-00-ENG,secondary_node_eng_data
CE04OSPS-SF01B-02A-IP1,secondary_node_port_eng_data
CE04OSPS-SF01B-02D-IP3,secondary_node_port_eng_data
CE04OSPS-SF01B-03A-IP7,secondary_node_port_eng_data
CE04OSPS-SF01B-03B-IP8,secondary_node_port_eng_data
CE04OSPS-SF01B-03C-IP9,secondary_node_port_eng_data
CE04OSPS-SF01B-03-IP10,secondary_node_port_eng_data
CE04OSPS-SF01B-04A-IP12,secondary_node_port_eng_data
CE04OSPS-SF01B-04B-IP13,secondary_node_port_eng_data
CE04OSPS-SF01B-04F-IP15,secondary_node_port_eng_data
CE04OSPS-SF01B-00-ENG,secondary_node_eng_data
RS03AXPS-SF03A-02A-IP1,secondary_node_port_eng_data
RS03AXPS-SF03A-02D-IP3,secondary_node_port_eng_data
RS03AXPS-SF03A-03A-IP7,secondary_node_port_eng_data
RS03AXPS-SF03A-03B-IP8,secondary_node_port_eng_data
RS03AXPS-SF03A-03C-IP9,secondary_node_port_eng_data
RS03AXPS-SF03A-03-IP10,secondary_node_port_eng_data
RS03AXPS-SF03A-04A-IP12,secondary_node_port_eng_data
RS03AXPS-SF03A-04B-IP13,secondary_node_port_eng_data
RS03AXPS-SF03A-04F-IP15,secondary_node_port_eng_data
RS03AXPS-SF03A-00-ENG,secondary_node_eng_data
RS01SLBS-PD01A-00-ENG,deep_profiler_dock_eng_data
CE04OSPD-PD01B-00-ENG,deep_profiler_dock_eng_data
RS03AXPD-PD03A-00-ENG,deep_profiler_dock_eng_data
